"time_series","sub_time_series","index","mean_value","theil_index","norm_sum_theil_index","norm_prod_theil_index"
"^GSPC","absolute log-return",23828,182.603931933517,7.36125058486821e-08,4.63472891461713,1.58828069636064e-08
"^GSPC","original",23828,13652211.3170911,3.72702444434495e-05,4.63469171798519,8.04151538053273e-06
"^GSPC","volatility log-return",23828,72306.5662118586,2.30628236372164e-08,4.63472896516681,4.97608893546673e-09
"^GSPC","absolute log-return",23827,182.595207160302,7.62017048279822e-08,4.64439082293967,1.64072547903041e-08
"^GSPC","original",23827,13650219.2401838,3.79989821485422e-05,4.64435290015922,8.18169335306536e-06
"^GSPC","volatility log-return",23827,72303.1789155919,2.35685025494028e-08,4.64439087557287,5.07461646989274e-09
"^GSPC","absolute log-return",23826,182.586562133657,7.86088207530628e-08,4.6539602715487,1.68907371010159e-08
"^GSPC","original",23826,13648228.4582643,3.87337047782492e-05,4.65392161645274,8.32274060455589e-06
"^GSPC","volatility log-return",23826,72299.8068728711,2.40344080372142e-08,4.65396032612311,5.1642915342845e-09
"^GSPC","absolute log-return",23825,182.577862180065,8.07684965274685e-08,4.66343901334357,1.73195135387197e-08
"^GSPC","original",23825,13646239.1382672,3.9474221093875e-05,4.66339961989097,8.46461598345181e-06
"^GSPC","volatility log-return",23825,72296.4182934614,2.44379998883217e-08,4.66343906967407,5.24033859886289e-09
"^GSPC","absolute log-return",23824,182.56917485224,8.3191806385448e-08,4.6728287512701,1.78033070186334e-08
"^GSPC","original",23824,13644251.5775221,4.0220181755464e-05,4.67278861428015,8.60724481471309e-06
"^GSPC","volatility log-return",23824,72293.0324982251,2.49191982498891e-08,4.67282880954271,5.33278644107636e-09
"^GSPC","absolute log-return",23823,182.560460805101,8.55921484698e-08,4.68213114153207,1.82805958051652e-08
"^GSPC","original",23823,13642266.1979954,4.09710937098049e-05,4.68209025603051,8.75052229900218e-06
"^GSPC","volatility log-return",23823,72289.6345817469,2.54164329360055e-08,4.68213120170779,5.42838970184447e-09
"^GSPC","absolute log-return",23822,182.551650994793,8.881064402929e-08,4.6913477934185,1.89307308387223e-08
"^GSPC","original",23822,13640282.5749743,4.17274283391713e-05,4.6913061548008,8.89455000709606e-06
"^GSPC","volatility log-return",23822,72286.2215886237,2.61024262360193e-08,4.69134785612672,5.56395025295299e-09
